Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
chiwawa,EXCEL,0.5870967741935483,29,591,0.6250000000000001,0.005999999999999997,0.6384544618215273,0.5833333333333334,0.3333333333333332,0.3333333333333333,0.28,0.006578947368421052,0.002553191489361702,29,440,410,139,52,44,0.9796954314720813
nataNk,Anorthosis Famagusta Esports,0.5806451612903226,17,349,0.6041666666666669,0.005333333333333332,0.6356945722171115,0.5666666666666668,0.4166666666666666,0.4285714285714286,0.44,0.003947368421052631,0.002340425531914894,29,254,241,96,37,40,1.002865329512894
bzt,Gamerland Outlaws,0.5806451612903226,15,340,0.5312500000000001,0.006333333333333333,0.6678932842686294,0.5166666666666667,0.6874999999999999,0.380952380952381,0.4,0.0044736842105263155,0.002553191489361702,30,238,242,141,34,33,1.1147058823529412
Supmah,KOVA Esports,0.5806451612903226,16,343,0.6562500000000001,0.006666666666666665,0.5952161913523459,0.5833333333333334,0.4374999999999999,0.4285714285714286,0.4,0.004736842105263157,0.003617021276595745,23,254,230,99,38,34,1.0291545189504374
RobbieBk,London Esports,0.5806451612903226,15,301,0.6041666666666669,0.006666666666666665,0.6513339466421346,0.5499999999999999,0.4791666666666666,0.2857142857142857,0.16,0.007105263157894737,0.003617021276595745,22,216,206,92,24,13,1.0232558139534884
falltw,Case Esports,0.5806451612903226,22,471,0.6979166666666666,0.006666666666666665,0.626494940202392,0.6166666666666668,0.3958333333333333,0.3333333333333333,0.24,0.0057894736842105275,0.002340425531914894,27,356,312,127,43,28,1.0254777070063694
TheCady,Team Lixa,0.5806451612903226,21,446,0.46875,0.004333333333333331,0.6126954921803129,0.5833333333333334,0.0833333333333332,0.7142857142857143,0.64,0.00631578947368421,0.001489361702127659,26,329,357,55,76,70,0.8609865470852018
Freyy,NOM eSports,0.5741935483870967,23,501,0.6874999999999999,0.005999999999999997,0.6108555657773691,0.6166666666666668,0.4583333333333332,0.2380952380952381,0.4,0.0060526315789473685,0.0027659574468085106,31,383,340,151,36,48,1.0658682634730539
vicious,KOVA Esports,0.5741935483870967,16,343,0.6145833333333334,0.007000000000000002,0.6007359705611777,0.5333333333333333,0.4374999999999999,0.1904761904761904,0.24,0.004210526315789474,0.003191489361702128,28,245,231,99,22,21,1.0029154518950438
tsack,Team Queso,0.5741935483870967,12,238,0.6979166666666666,0.007666666666666666,0.5915363385464583,0.6,0.4166666666666666,0.2857142857142857,0.28,0.006842105263157895,0.003191489361702128,21,179,157,67,18,17,1.0336134453781514
qRaxs,Futbolist,0.5741935483870967,19,395,0.6874999999999999,0.006666666666666665,0.6154553817847288,0.6,0.4374999999999999,0.2857142857142857,0.2,0.006842105263157895,0.002553191489361702,30,297,263,113,33,20,1.0379746835443038
Docent,Galatasaray Esports,0.5741935483870967,18,412,0.5208333333333334,0.005,0.6347746090156394,0.5333333333333333,0.4166666666666666,0.2380952380952381,0.4,0.005263157894736842,0.001063829787234042,26,293,303,114,27,41,0.9878640776699029
Hyperzxz,H2O,0.567741935483871,7,135,0.3958333333333333,0.003666666666666667,0.6577736890524379,0.4833333333333335,0.2499999999999999,0.6190476190476191,0.52,0.004736842105263157,0.001702127659574468,24,92,108,27,20,18,0.8814814814814815
MrFaliN,Futbolist,0.567741935483871,19,395,0.5625000000000001,0.00733333333333333,0.5906163753449862,0.4999999999999999,0.5,0.380952380952381,0.36,0.0044736842105263155,0.0006382978723404251,24,272,269,128,39,34,1.0126582278481013
APO,Mandatory,0.5612903225806453,14,312,0.5937500000000001,0.005333333333333332,0.6163753449862006,0.5833333333333334,0.2916666666666666,0.380952380952381,0.32,0.006842105263157895,0.001063829787234042,25,230,222,70,31,25,0.9615384615384616
Leare,Team Queso,0.5612903225806453,12,238,0.5312500000000001,0.002666666666666666,0.5685372585096597,0.5833333333333334,0.0624999999999999,0.7619047619047619,0.84,0.0057894736842105275,0.001914893617021276,20,175,178,27,43,49,0.8487394957983193
gloomy,Fenerbah̤e Esports,0.5612903225806453,4,90,0.3854166666666666,0.0029999999999999983,0.6310947562097518,0.4833333333333335,0.0833333333333332,0.5714285714285715,0.88,0.0057894736842105275,0.001063829787234042,23,61,73,11,13,20,0.8
lauress,Fire Flux Esports,0.5612903225806453,22,460,0.8020833333333333,0.008666666666666666,0.6292548298068079,0.6166666666666668,0.4166666666666666,0.2857142857142857,0.32,0.006842105263157895,0.003191489361702128,33,348,281,131,37,35,1.041304347826087
sturNNcya,Galakticos,0.5612903225806453,18,390,0.5729166666666666,0.005,0.6182152713891444,0.5666666666666668,0.1666666666666666,0.2857142857142857,0.32,0.005263157894736842,0.001914893617021276,32,286,280,61,33,33,0.8897435897435897
TheNightChe,Team Lixa,0.5612903225806453,21,446,0.4895833333333332,0.004333333333333331,0.609015639374425,0.5666666666666668,0.3125,0.3333333333333333,0.4,0.007105263157894737,0.002127659574468084,25,325,345,104,40,46,0.9618834080717489
DarkLight,beGenius ESC,0.5548387096774193,18,383,0.6562500000000001,0.007000000000000002,0.6209751609935603,0.5833333333333334,0.5,0.1904761904761904,0.28,0.005263157894736842,0.002127659574468084,28,285,258,121,24,25,1.0600522193211488
XMS,TENSTAR,0.5483870967741936,24,468,0.7291666666666666,0.00733333333333333,0.6421343146274152,0.6,0.3333333333333332,0.2380952380952381,0.2,0.00631578947368421,0.002978723404255319,24,351,300,114,34,22,0.9935897435897436
mcnuggets,Movistar Riders,0.5483870967741936,12,247,0.5104166666666666,0.005999999999999997,0.5896964121435144,0.5166666666666667,0.4583333333333332,0.4761904761904761,0.44,0.003947368421052631,0.002553191489361702,24,173,180,73,30,28,0.9959514170040485
Yurii,Case Esports,0.5483870967741936,22,471,0.6250000000000001,0.007000000000000002,0.5878564857405706,0.5833333333333334,0.3541666666666666,0.380952380952381,0.32,0.004210526315789474,0.001914893617021276,22,349,326,119,45,39,0.9936305732484076
BennY,CGN Esports,0.5419354838709677,14,275,0.4062499999999999,0.004333333333333331,0.5896964121435144,0.4833333333333335,0.4166666666666666,0.4761904761904761,0.76,0.005,0.0006382978723404251,20,186,216,77,32,52,0.9563636363636364
ceNder,Team Vitality,0.5419354838709677,14,297,0.6354166666666669,0.006666666666666665,0.6099356025758973,0.5166666666666667,0.5208333333333333,0.380952380952381,0.44,0.006842105263157895,0.005106382978723405,24,207,191,97,31,33,1.0235690235690236
Eso177,UCAM Tokiers,0.5419354838709677,14,308,0.5312500000000001,0.003999999999999999,0.6117755289788409,0.5166666666666667,0.3125,0.3333333333333333,0.24,0.005526315789473685,0.003404255319148936,21,216,220,72,28,19,0.935064935064935
Leosen,Ovation eSports,0.535483870967742,14,290,0.4166666666666667,0.004333333333333331,0.596136154553818,0.4833333333333335,0.3333333333333332,0.4761904761904761,0.52,0.005526315789473685,0.001276595744680851,34,196,226,70,35,39,0.9172413793103448
hatex,Galakticos,0.535483870967742,18,390,0.5625000000000001,0.006333333333333333,0.6218951241950323,0.5666666666666668,0.3333333333333332,0.2380952380952381,0.24,0.005263157894736842,0.001063829787234042,26,283,280,95,28,25,0.9692307692307692
RieNs,Surreal Esports,0.535483870967742,23,507,0.6145833333333334,0.007000000000000002,0.6080956761729532,0.5333333333333333,0.4374999999999999,0.3333333333333333,0.32,0.006842105263157895,0.0027659574468085106,24,359,340,148,47,43,1.0
denzo,SPARX ESPORTS,0.529032258064516,14,286,0.3958333333333333,0.00133333333333333,0.5427782888684454,0.4999999999999999,0.0833333333333332,0.6190476190476191,0.88,0.005526315789473685,0.003404255319148936,26,197,233,35,43,64,0.8111888111888111
JESMUND,KOVA Esports,0.529032258064516,16,343,0.5937500000000001,0.005333333333333332,0.6310947562097518,0.5333333333333333,0.3125,0.1904761904761904,0.4,0.0060526315789473685,0.002127659574468084,22,242,233,80,21,33,0.9387755102040817
Bia,Team Lixa,0.529032258064516,21,446,0.5312500000000001,0.005333333333333332,0.5584176632934683,0.5499999999999999,0.1041666666666666,0.4761904761904761,0.28,0.0057894736842105275,0.002553191489361702,26,323,331,60,53,32,0.8587443946188341
roxie,Wave Esports,0.5225806451612903,20,424,0.5937500000000001,0.005999999999999997,0.5860165593376265,0.5333333333333333,0.375,0.2857142857142857,0.4,0.008157894736842105,0.00425531914893617,23,301,290,109,32,42,0.9669811320754716
Dext,Arctic Gaming,0.5225806451612903,12,275,0.5104166666666666,0.004666666666666668,0.5538178472861086,0.5333333333333333,0.2708333333333332,0.2857142857142857,0.36,0.006578947368421052,0.004042553191489362,20,194,203,58,23,24,0.9163636363636364
loWel,Team Heretics,0.5225806451612903,11,246,0.875,0.008333333333333335,0.5519779208831648,0.6,0.3125,0.2380952380952381,0.16,0.0057894736842105275,0.002340425531914894,23,184,140,56,16,11,0.975609756097561
hastack,BISONS ECLUB,0.5225806451612903,11,232,0.5416666666666666,0.004333333333333331,0.5942962281508741,0.5166666666666667,0.2083333333333333,0.3333333333333333,0.36,0.003947368421052631,0.004042553191489362,27,162,163,41,22,22,0.875
MOJJ,Futbolist,0.5225806451612903,19,395,0.6250000000000001,0.007000000000000002,0.6117755289788409,0.5333333333333333,0.3541666666666666,0.2857142857142857,0.32,0.0060526315789473685,0.002340425531914894,21,280,262,100,33,33,0.9620253164556962
bucher,FOKUS,0.5161290322580646,22,463,0.7499999999999998,0.005999999999999997,0.5565777368905245,0.6,0.1666666666666666,0.2380952380952381,0.16,0.007631578947368421,0.003404255319148936,27,346,290,74,31,20,0.9071274298056156
SH0UTy,Entropiq,0.5161290322580646,17,386,0.5729166666666666,0.006666666666666665,0.5712971481140754,0.5333333333333333,0.5,0.2857142857142857,0.32,0.004736842105263157,0.002978723404255319,26,275,269,125,31,31,1.0362694300518134
AKIMB0,who cars?,0.5161290322580646,16,344,0.5625000000000001,0.004666666666666668,0.5924563017479303,0.5166666666666667,0.3541666666666666,0.1904761904761904,0.16,0.003947368421052631,0.002340425531914894,24,241,239,85,22,13,0.9476744186046512
meisoN,BISONS ECLUB,0.5161290322580646,11,232,0.5104166666666666,0.005,0.5473781048758051,0.5333333333333333,0.3125,0.3333333333333333,0.48,0.0060526315789473685,0.0027659574468085106,23,164,171,53,22,28,0.9353448275862069
snikk,Anonymo Esports,0.5096774193548387,28,595,0.5208333333333334,0.005333333333333332,0.5400183992640295,0.5166666666666667,0.3541666666666666,0.3333333333333333,0.44,0.004736842105263157,0.00425531914893617,28,414,427,148,56,67,0.9445378151260504
kAdavra,Team Vitality,0.5096774193548387,14,297,0.6458333333333334,0.007000000000000002,0.580496780128795,0.5666666666666668,0.375,0.3333333333333333,0.24,0.00631578947368421,0.003404255319148936,24,217,199,76,27,19,0.9865319865319865
KRAY,TENSTAR,0.5096774193548387,24,468,0.6458333333333334,0.005999999999999997,0.5887764489420424,0.5666666666666668,0.3541666666666666,0.2857142857142857,0.36,0.0057894736842105275,0.003191489361702128,23,341,312,115,39,40,0.9743589743589743
Stix,AWARIA,0.503225806451613,28,588,0.6041666666666669,0.006333333333333333,0.5878564857405706,0.5166666666666667,0.4166666666666666,0.2857142857142857,0.28,0.0057894736842105275,0.002127659574468084,25,414,396,165,47,41,0.9846938775510204
Extreme,Movistar Riders,0.503225806451613,12,247,0.46875,0.003666666666666667,0.5602575896964124,0.5166666666666667,0.1458333333333333,0.6666666666666666,0.36,0.003947368421052631,0.000212765957446808,23,172,186,38,39,23,0.8502024291497976
Epzz,Angry Titans,0.496774193548387,19,394,0.5312500000000001,0.006333333333333333,0.5952161913523459,0.45,0.5,0.1904761904761904,0.16,0.00368421052631579,0.002553191489361702,30,262,266,128,22,17,0.9898477157360406
logaN,Team BDS,0.496774193548387,23,515,0.5937500000000001,0.00733333333333333,0.5786568537258512,0.5166666666666667,0.2708333333333332,0.380952380952381,0.32,0.00631578947368421,0.0027659574468085106,28,362,347,108,50,39,0.912621359223301
MONSTEERR,Giants Gaming,0.496774193548387,12,265,0.6250000000000001,0.005333333333333332,0.5942962281508741,0.4999999999999999,0.2499999999999999,0.1428571428571428,0.32,0.005,0.004893617021276595,22,184,172,53,12,20,0.8943396226415095
MARCTYLINHO,Sector One France,0.4903225806451613,23,521,0.6666666666666669,0.007000000000000002,0.5326586936522542,0.5166666666666667,0.5416666666666666,0.0952380952380952,0.16,0.00368421052631579,0.002127659574468084,26,363,328,175,22,21,1.0326295585412668
iDex,Sector One France,0.4903225806451613,23,521,0.4583333333333333,0.005333333333333332,0.5538178472861086,0.4999999999999999,0.1249999999999999,0.5238095238095238,0.52,0.006578947368421052,0.0027659574468085106,27,357,392,73,67,69,0.8253358925143954
fxy0,OG,0.4903225806451613,18,394,0.4583333333333333,0.006666666666666665,0.4931002759889604,0.4333333333333334,0.8749999999999999,0.2380952380952381,0.36,0.004736842105263157,0.000851063829787234,23,257,283,197,29,35,1.1522842639593909
JN3v1cEEE,Fire Flux Esports,0.4903225806451613,21,434,0.6250000000000001,0.007000000000000002,0.5262189512419504,0.5333333333333333,0.3125,0.3333333333333333,0.36,0.004736842105263157,0.000851063829787234,21,306,287,98,37,39,0.9308755760368663
Jlerst,Surreal Esports,0.4903225806451613,24,528,0.6250000000000001,0.007666666666666666,0.5105795768169274,0.5333333333333333,0.6249999999999999,0.2380952380952381,0.24,0.0060526315789473685,0.003617021276595745,27,376,350,203,39,32,1.0965909090909092
Masked,who cars?,0.4838709677419354,16,344,0.4999999999999999,0.003999999999999999,0.5354185832566698,0.4999999999999999,0.3958333333333333,0.380952380952381,0.48,0.0060526315789473685,0.002553191489361702,31,239,251,93,35,40,0.9651162790697675
Barcode,Gamerland Outlaws (ex),0.4774193548387097,15,340,0.5729166666666666,0.0056666666666666645,0.5151793928242872,0.4999999999999999,0.2291666666666666,0.4285714285714286,0.48,0.0044736842105263155,0.003617021276595745,27,236,232,66,37,42,0.888235294117647
skylen,Fire Flux Esports,0.4774193548387097,1,18,0.8645833333333333,0.01,0.5915363385464583,0.5499999999999999,1.0,0.1904761904761904,0.0,0.004210526315789474,0.01,13,13,10,10,1,0,1.2777777777777777
farewell,Team Lixa,0.4774193548387097,21,446,0.3541666666666667,0.004666666666666668,0.6053357865685376,0.4166666666666666,0.3541666666666666,0.3333333333333333,0.32,0.0057894736842105275,0.001063829787234042,20,286,354,112,38,36,0.8923766816143498
10K,Dsyre,0.4709677419354839,14,311,0.4479166666666667,0.005333333333333332,0.5593376264949403,0.4333333333333334,0.6041666666666666,0.2857142857142857,0.36,0.0057894736842105275,0.001489361702127659,22,203,225,114,25,27,1.0192926045016077
memset,MOUZ,0.4709677419354839,19,417,0.6250000000000001,0.006333333333333333,0.5409383624655015,0.5166666666666667,0.2291666666666666,0.2857142857142857,0.32,0.007105263157894737,0.002340425531914894,25,293,274,80,35,35,0.894484412470024
AFoxx,Angry Titans,0.4709677419354839,19,394,0.6145833333333334,0.0056666666666666645,0.5648574057037721,0.5666666666666668,0.0416666666666666,0.4285714285714286,0.32,0.00868421052631579,0.001063829787234042,28,286,271,41,44,33,0.8299492385786802
SoOn,CGN Esports,0.4709677419354839,14,275,0.4999999999999999,0.004333333333333331,0.517939282428703,0.4666666666666667,0.1249999999999999,0.5238095238095238,0.6,0.0044736842105263155,0.002340425531914894,25,183,193,38,36,40,0.8036363636363636
re1sxd,Thunderbolts Gaming,0.4709677419354839,23,481,0.4999999999999999,0.005999999999999997,0.5298988040478381,0.4666666666666667,0.4374999999999999,0.2857142857142857,0.28,0.00368421052631579,0.003404255319148936,30,324,342,139,40,35,0.9625779625779626
Amilwa,MOUZ,0.464516129032258,19,417,0.6250000000000001,0.00733333333333333,0.5298988040478381,0.4666666666666667,0.4583333333333332,0.0952380952380952,0.24,0.006842105263157895,0.002127659574468084,28,281,262,126,18,27,0.9760191846522782
ara,KTRL,0.464516129032258,4,75,0.28125,0.001000000000000003,0.580496780128795,0.3666666666666666,0.3333333333333332,0.4761904761904761,1.0,0.004210526315789474,0.002631366860090264,18,46,62,18,9,19,0.8533333333333334
hasaa,Entropiq,0.464516129032258,17,386,0.5625000000000001,0.005333333333333332,0.5216191352345907,0.5166666666666667,0.2916666666666666,0.2380952380952381,0.32,0.005263157894736842,0.002127659574468084,31,271,268,86,28,31,0.9248704663212435
PHYRN,KOI,0.464516129032258,14,320,0.5937500000000001,0.006666666666666665,0.5409383624655015,0.4666666666666667,0.3541666666666666,0.0952380952380952,0.28,0.0028947368421052633,0.0027659574468085106,26,215,207,79,13,22,0.91875
Phatt,UCAM Tokiers,0.464516129032258,14,308,0.4999999999999999,0.006666666666666665,0.4820607175712972,0.4999999999999999,0.6249999999999999,0.2857142857142857,0.28,0.005526315789473685,0.0006382978723404251,21,211,222,117,24,23,1.0649350649350648
Bard0lf,Team Lixa ,0.464516129032258,10,214,0.4895833333333332,0.005999999999999997,0.5225390984360627,0.45,0.6458333333333333,0.0952380952380952,0.24,0.00868421052631579,0.0027659574468085106,24,141,150,83,8,13,1.0467289719626167
Feeqn,Wave Esports,0.4580645161290323,20,424,0.5625000000000001,0.006333333333333333,0.5271389144434224,0.4166666666666666,0.4791666666666666,0.2857142857142857,0.28,0.004210526315789474,0.002340425531914894,25,271,268,130,36,28,0.9457547169811321
smz,SPARX ESPORTS,0.4580645161290323,14,286,0.3958333333333333,0.0029999999999999983,0.5372585096596139,0.4333333333333334,0.1458333333333333,0.2857142857142857,0.4,0.0057894736842105275,0.004042553191489362,20,187,221,44,23,29,0.8076923076923077
crazyd33R,Gamerland Outlaws,0.4580645161290323,15,340,0.4583333333333333,0.005999999999999997,0.5105795768169274,0.4333333333333334,0.375,0.3333333333333333,0.24,0.0044736842105263155,0.001702127659574468,30,222,245,87,29,19,0.9088235294117647
Yuta,WYLDE,0.4580645161290323,14,292,0.3541666666666667,0.001999999999999999,0.4958601655933765,0.4333333333333334,0.0416666666666666,0.7619047619047619,0.8,0.007631578947368421,0.004468085106382978,24,191,237,29,52,59,0.7534246575342466
GatsH,Rebels Gaming,0.4580645161290323,22,454,0.6250000000000001,0.00733333333333333,0.5151793928242872,0.4999999999999999,0.375,0.2857142857142857,0.32,0.0044736842105263155,0.002340425531914894,23,314,294,119,37,37,0.9537444933920705
mikigoalie,KTRL (si),0.4516129032258064,7,142,0.4270833333333333,0.003333333333333335,0.5059797608095677,0.45,0.1874999999999999,0.2857142857142857,0.56,0.004736842105263157,0.002553191489361702,17,94,107,24,12,20,0.8309859154929577
jbzz,Mandatory,0.4516129032258064,14,312,0.28125,0.003999999999999999,0.5317387304507821,0.35,0.2708333333333332,0.380952380952381,0.64,0.001842105263157894,0.000851063829787234,23,187,253,65,31,50,0.8076923076923077
HyP,Mandatory,0.4516129032258064,14,312,0.4166666666666667,0.005999999999999997,0.4572217111315548,0.4166666666666666,0.7291666666666665,0.4761904761904761,0.44,0.0028947368421052633,0.004042553191489362,29,200,231,133,37,35,1.0673076923076923
SouhcNi,Fire Flux Esports,0.4516129032258064,21,434,0.6041666666666669,0.007000000000000002,0.5271389144434224,0.4833333333333335,0.3333333333333332,0.3333333333333333,0.48,0.0057894736842105275,0.0053191489361702135,23,295,280,104,39,51,0.9193548387096774
Happen,Ovation eSports,0.4451612903225806,14,290,0.4479166666666667,0.003999999999999999,0.5298988040478381,0.4166666666666666,0.4166666666666666,0.2380952380952381,0.24,0.003947368421052631,0.001702127659574468,27,187,207,80,20,18,0.9206896551724137
matti,NOM eSports,0.4451612903225806,23,501,0.5520833333333334,0.006333333333333333,0.5280588776448945,0.4333333333333334,0.4166666666666666,0.2380952380952381,0.32,0.0044736842105263155,0.004680851063829787,24,327,328,142,33,41,0.936127744510978
Hitch,NOM eSports,0.4451612903225806,23,501,0.4479166666666667,0.006333333333333333,0.5455381784728612,0.3833333333333334,0.5208333333333333,0.2380952380952381,0.28,0.002631578947368421,0.003404255319148936,23,312,347,165,35,37,0.9520958083832335
Dawn,WYLDE,0.4451612903225806,14,292,0.4895833333333332,0.0056666666666666645,0.5216191352345907,0.4833333333333335,0.3958333333333333,0.1428571428571428,0.16,0.007105263157894737,0.002127659574468084,24,198,211,78,14,13,0.9452054794520548
Newzera,WYLDE,0.4451612903225806,14,292,0.5208333333333334,0.005999999999999997,0.4572217111315548,0.45,0.2708333333333332,0.1428571428571428,0.24,0.007894736842105262,0.001276595744680851,23,194,200,61,14,18,0.8732876712328768
l0udly,Arctic Gaming,0.4451612903225806,12,275,0.3749999999999999,0.005,0.5676172953081877,0.3333333333333332,0.6249999999999999,0.1904761904761904,0.48,0.0044736842105263155,0.001276595744680851,23,162,196,105,16,32,0.9709090909090909
Theia,Fenerbah̤e Esports,0.4451612903225806,8,183,0.3125,0.0029999999999999983,0.5538178472861086,0.3666666666666666,0.2083333333333333,0.4761904761904761,0.8,0.003421052631578947,0.004042553191489362,23,112,145,33,22,36,0.7923497267759563
Vbbooy,Valar Morghulis,0.432258064516129,14,314,0.3541666666666667,0.004333333333333331,0.4793008279668813,0.3666666666666666,0.4583333333333332,0.3333333333333333,0.4,0.003157894736842105,0.001489361702127659,21,193,238,95,27,32,0.9171974522292994
NRK,Valar Morghulis,0.432258064516129,14,314,0.4062499999999999,0.005333333333333332,0.5041398344066239,0.4166666666666666,0.3125,0.4761904761904761,0.56,0.005263157894736842,0.0,27,200,233,72,37,44,0.8662420382165605
M4CHINA,Tundra Esports,0.432258064516129,25,533,0.5312500000000001,0.0056666666666666645,0.5087396504139836,0.4333333333333334,0.4583333333333332,0.2380952380952381,0.36,0.00631578947368421,0.000212765957446808,22,349,357,161,36,46,0.9568480300187617
SEIDER,Alliance,0.432258064516129,23,483,0.6145833333333334,0.005999999999999997,0.4829806807727692,0.4833333333333335,0.5208333333333333,0.3333333333333333,0.36,0.007631578947368421,0.003829787234042552,24,329,309,161,43,45,1.0144927536231885
Jakexd,Team Heretics,0.432258064516129,6,128,0.3854166666666666,0.003666666666666667,0.517939282428703,0.4,0.4583333333333332,0.5238095238095238,0.36,0.006578947368421052,0.002631366860090264,20,81,97,39,16,12,0.9375
